nodo_a_id,actor_a,nodo_b_id,actor_b,similitud_sbert
SocialBehavioralAutism_1_4,SB,ModerateAutism_4_97,MO,0.9471
SocialBehavioralAutism_1_4,SB,ModerateAutism_4_182,MO,0.9797
SocialBehavioralAutism_1_4,SB,ModerateAutism_4_196,MO,0.5702
SocialBehavioralAutism_2_5,SB,ModerateAutism_1_2,MO,0.5784
SocialBehavioralAutism_2_5,SB,ModerateAutism_3_28,MO,0.9868
SocialBehavioralAutism_2_5,SB,ModerateAutism_3_49,MO,0.8967
SocialBehavioralAutism_2_5,SB,ModerateAutism_3_65,MO,0.9154
SocialBehavioralAutism_2_5,SB,ModerateAutism_4_108,MO,0.9278
SocialBehavioralAutism_2_5,SB,ModerateAutism_4_147,MO,0.9767
SocialBehavioralAutism_2_5,SB,ModerateAutism_4_183,MO,0.6743
SocialBehavioralAutism_2_6,SB,ModerateAutism_1_1,MO,0.9458
SocialBehavioralAutism_2_6,SB,ModerateAutism_2_8,MO,0.995
SocialBehavioralAutism_2_6,SB,ModerateAutism_4_122,MO,0.9898
SocialBehavioralAutism_2_6,SB,ModerateAutism_4_127,MO,0.9901
SocialBehavioralAutism_2_6,SB,ModerateAutism_4_130,MO,0.9971
SocialBehavioralAutism_2_8,SB,ModerateAutism_3_46,MO,0.9972
SocialBehavioralAutism_2_8,SB,ModerateAutism_4_77,MO,0.9849
SocialBehavioralAutism_2_11,SB,ModerateAutism_4_120,MO,0.9657
SocialBehavioralAutism_2_11,SB,ModerateAutism_4_124,MO,0.9849
SocialBehavioralAutism_2_18,SB,ModerateAutism_3_70,MO,0.9567
SocialBehavioralAutism_2_19,SB,ModerateAutism_1_2,MO,0.9797
SocialBehavioralAutism_2_19,SB,ModerateAutism_1_4,MO,0.5548
SocialBehavioralAutism_2_19,SB,ModerateAutism_3_49,MO,0.991
SocialBehavioralAutism_2_19,SB,ModerateAutism_4_108,MO,0.9913
SocialBehavioralAutism_2_20,SB,ModerateAutism_3_53,MO,0.9928
SocialBehavioralAutism_2_20,SB,ModerateAutism_4_159,MO,0.9954
SocialBehavioralAutism_3_21,SB,ModerateAutism_1_1,MO,0.9898
SocialBehavioralAutism_3_21,SB,ModerateAutism_3_29,MO,0.5717
SocialBehavioralAutism_3_21,SB,ModerateAutism_4_89,MO,0.7628
SocialBehavioralAutism_3_21,SB,ModerateAutism_4_122,MO,0.9876
SocialBehavioralAutism_3_21,SB,ModerateAutism_4_130,MO,0.9355
SocialBehavioralAutism_3_25,SB,ModerateAutism_1_3,MO,0.5596
SocialBehavioralAutism_3_25,SB,ModerateAutism_3_26,MO,0.7089
SocialBehavioralAutism_3_25,SB,ModerateAutism_3_30,MO,0.8776
SocialBehavioralAutism_3_25,SB,ModerateAutism_3_42,MO,0.8576
SocialBehavioralAutism_3_25,SB,ModerateAutism_4_78,MO,0.6279
SocialBehavioralAutism_3_25,SB,ModerateAutism_4_114,MO,0.9765
SocialBehavioralAutism_3_25,SB,ModerateAutism_4_155,MO,0.8165
SocialBehavioralAutism_3_25,SB,ModerateAutism_4_163,MO,0.9311
SocialBehavioralAutism_3_25,SB,ModerateAutism_4_181,MO,0.9408
SocialBehavioralAutism_3_26,SB,ModerateAutism_4_78,MO,0.9983
SocialBehavioralAutism_3_26,SB,ModerateAutism_4_83,MO,0.5674
SocialBehavioralAutism_3_27,SB,ModerateAutism_4_116,MO,0.9977
SocialBehavioralAutism_3_29,SB,ModerateAutism_2_14,MO,0.8815
SocialBehavioralAutism_3_29,SB,ModerateAutism_3_42,MO,0.7559
SocialBehavioralAutism_3_29,SB,ModerateAutism_3_50,MO,0.9878
