nodo_a_id,actor_a,nodo_b_id,actor_b,similitud_sbert
SocialBehavioralAutism_4_111,SB,MixedASDwithDelay_5_90,MX,0.947
SocialBehavioralAutism_4_111,SB,MixedASDwithDelay_7_174,MX,0.9942
SocialBehavioralAutism_4_111,SB,MixedASDwithDelay_8_228,MX,0.6126
SocialBehavioralAutism_4_111,SB,MixedASDwithDelay_9_260,MX,0.9855
SocialBehavioralAutism_4_111,SB,MixedASDwithDelay_9_289,MX,0.9796
SocialBehavioralAutism_4_111,SB,MixedASDwithDelay_9_305,MX,0.9764
SocialBehavioralAutism_5_113,SB,MixedASDwithDelay_5_90,MX,0.965
SocialBehavioralAutism_5_113,SB,MixedASDwithDelay_9_260,MX,0.9517
SocialBehavioralAutism_5_113,SB,MixedASDwithDelay_9_262,MX,0.9852
SocialBehavioralAutism_5_115,SB,MixedASDwithDelay_2_13,MX,0.997
SocialBehavioralAutism_5_115,SB,MixedASDwithDelay_9_252,MX,0.9926
SocialBehavioralAutism_4_122,SB,MixedASDwithDelay_2_7,MX,0.779
SocialBehavioralAutism_5_124,SB,MixedASDwithDelay_9_257,MX,0.8642
SocialBehavioralAutism_5_124,SB,MixedASDwithDelay_10_337,MX,0.9166
SocialBehavioralAutism_5_126,SB,MixedASDwithDelay_1_1,MX,0.9935
SocialBehavioralAutism_5_126,SB,MixedASDwithDelay_2_9,MX,0.9966
SocialBehavioralAutism_5_126,SB,MixedASDwithDelay_4_52,MX,0.641
SocialBehavioralAutism_5_126,SB,MixedASDwithDelay_5_78,MX,0.9929
SocialBehavioralAutism_5_126,SB,MixedASDwithDelay_5_80,MX,0.9526
SocialBehavioralAutism_5_128,SB,MixedASDwithDelay_2_6,MX,0.9892
SocialBehavioralAutism_5_128,SB,MixedASDwithDelay_2_9,MX,0.6971
SocialBehavioralAutism_5_128,SB,MixedASDwithDelay_2_14,MX,0.9931
SocialBehavioralAutism_5_128,SB,MixedASDwithDelay_3_25,MX,0.9848
SocialBehavioralAutism_5_128,SB,MixedASDwithDelay_5_80,MX,0.9979
SocialBehavioralAutism_5_128,SB,MixedASDwithDelay_7_140,MX,0.9859
SocialBehavioralAutism_5_131,SB,MixedASDwithDelay_3_27,MX,0.9962
SocialBehavioralAutism_5_133,SB,MixedASDwithDelay_4_52,MX,0.9829
SocialBehavioralAutism_5_134,SB,MixedASDwithDelay_7_160,MX,0.9913
SocialBehavioralAutism_5_142,SB,MixedASDwithDelay_8_228,MX,0.7124
SocialBehavioralAutism_5_142,SB,MixedASDwithDelay_9_302,MX,0.9761
SocialBehavioralAutism_5_142,SB,MixedASDwithDelay_10_340,MX,0.72
SocialBehavioralAutism_5_144,SB,MixedASDwithDelay_3_25,MX,0.7273
SocialBehavioralAutism_5_144,SB,MixedASDwithDelay_7_174,MX,0.9864
SocialBehavioralAutism_5_145,SB,MixedASDwithDelay_1_2,MX,0.9974
SocialBehavioralAutism_5_147,SB,MixedASDwithDelay_5_90,MX,0.9848
SocialBehavioralAutism_5_147,SB,MixedASDwithDelay_9_262,MX,0.9849
SocialBehavioralAutism_5_153,SB,MixedASDwithDelay_2_12,MX,0.5663
SocialBehavioralAutism_5_154,SB,MixedASDwithDelay_6_135,MX,0.816
SocialBehavioralAutism_5_157,SB,MixedASDwithDelay_7_174,MX,0.8451
SocialBehavioralAutism_5_157,SB,MixedASDwithDelay_9_262,MX,0.9965
SocialBehavioralAutism_5_159,SB,MixedASDwithDelay_1_2,MX,0.998
SocialBehavioralAutism_5_159,SB,MixedASDwithDelay_8_193,MX,0.9793
SocialBehavioralAutism_5_160,SB,MixedASDwithDelay_1_4,MX,0.9943
SocialBehavioralAutism_5_166,SB,MixedASDwithDelay_10_325,MX,0.6903
SocialBehavioralAutism_5_167,SB,MixedASDwithDelay_4_58,MX,0.995
SocialBehavioralAutism_5_168,SB,MixedASDwithDelay_6_134,MX,0.9978
SocialBehavioralAutism_5_174,SB,MixedASDwithDelay_3_27,MX,0.829
